,config,name,weighting_strategy,f1_score
0,best6,kind-sweep-1,none,0.9769625888954502
1,best6,warm-sweep-2,none,0.9754201681923392
2,best6,clean-sweep-3,none,0.9609619505040272
3,best6,proud-sweep-4,none,0.9749107856302544
4,best6,worldly-sweep-5,none,0.9704061079909791
5,baseline,celestial-sweep-1,none,0.978131747307589
6,baseline,pleasant-sweep-2,none,0.9674986643035828
7,baseline,soft-sweep-3,none,0.980712286595176
8,baseline,celestial-sweep-4,none,0.968429297920833
9,baseline,happy-sweep-5,none,0.9702511995105524
10,resnet34,pious-sweep-1,effective,0.9771987159605048
11,resnet34,breezy-sweep-2,effective,0.971611793806218
12,resnet34,comfy-sweep-3,effective,0.972534120893291
13,resnet34,exalted-sweep-4,effective,0.9734073172651048
14,resnet34,comfy-sweep-5,effective,0.9713982628456884
15,resnet34,super-sweep-6,effective,0.9787380890634186
16,resnet34,giddy-sweep-7,effective,0.9721235771287472
17,resnet34,playful-sweep-8,effective,0.970627850545184
18,resnet34,solar-sweep-9,effective,0.9771924545321724
19,resnet34,misty-sweep-10,effective,0.9780786467349494
20,resnet34,sunny-sweep-1,inverse,0.9713570996342934
21,resnet34,fiery-sweep-2,inverse,0.9764381614740912
22,resnet34,robust-sweep-3,inverse,0.9739334438084624
23,resnet34,winter-sweep-4,inverse,0.9711945947151444
24,resnet34,hearty-sweep-5,inverse,0.9742852438288464
25,resnet34,glowing-sweep-6,inverse,0.9758590644611224
26,resnet34,misunderstood-sweep-7,inverse,0.9695002441671222
27,resnet34,rose-sweep-8,inverse,0.9765024900190848
28,resnet34,vital-sweep-9,inverse,0.9718617947667938
29,resnet34,twilight-sweep-10,inverse,0.9714196915592233
30,resnet34,divine-sweep-1,none,0.966399896156437
31,resnet34,jumping-sweep-2,none,0.971476411096478
32,resnet34,peachy-sweep-3,none,0.969329754959171
33,resnet34,vibrant-sweep-4,none,0.963582084310298
34,resnet34,likely-sweep-5,none,0.9628016167599406
35,resnet34,usual-sweep-6,none,0.9748623042933288
36,resnet34,quiet-sweep-7,none,0.9776667651576896
37,resnet34,generous-sweep-8,none,0.9729245733095584
38,resnet34,winter-sweep-9,none,0.967815108053788
39,resnet34,devout-sweep-10,none,0.976354131678259
40,best6,vibrant-sweep-1,effective,0.9682066580031764
41,best6,northern-sweep-2,effective,0.973981600463775
42,best6,fearless-sweep-3,effective,0.964462282722264
43,best6,gentle-sweep-4,effective,0.9692262917763966
44,best6,clean-sweep-5,effective,0.9651204929652294
45,best6,polished-sweep-6,effective,0.9555409266933104
46,best6,celestial-sweep-7,effective,0.9761853089348532
47,best6,super-sweep-8,effective,0.9764462320045916
48,best6,dazzling-sweep-9,effective,0.97220443850343
49,best6,neat-sweep-10,effective,0.9742876350864518
50,best6,proud-sweep-1,none,0.9674844147824622
51,best6,cool-sweep-2,none,0.9695955216305652
52,best6,stellar-sweep-3,none,0.9689504043868588
53,best6,breezy-sweep-4,none,0.981728196137852
54,best6,vibrant-sweep-5,none,0.966550421032678
55,best6,vital-sweep-1,inverse,0.9692652561727754
56,best6,scarlet-sweep-2,inverse,0.973191365811086
57,best6,splendid-sweep-3,inverse,0.9660034448387922
58,best6,laced-sweep-4,inverse,0.9616350831398004
59,best6,flowing-sweep-5,inverse,0.9768897152632452
60,best6,royal-sweep-6,inverse,0.9735820060271536
61,best6,brisk-sweep-7,inverse,0.9745700710107008
62,best6,visionary-sweep-8,inverse,0.97390426618731
63,best6,generous-sweep-9,inverse,0.9674767140252978
64,best6,rose-sweep-10,inverse,0.9749626502182932
65,baseline,comic-sweep-1,effective,0.9666926896870496
66,baseline,devoted-sweep-2,effective,0.9787870914927964
67,baseline,pleasant-sweep-3,effective,0.9730422467624052
68,baseline,northern-sweep-4,effective,0.978731615662351
69,baseline,lilac-sweep-5,effective,0.9722810816600173
70,baseline,glorious-sweep-6,effective,0.9756195998953489
71,baseline,chocolate-sweep-7,effective,0.9758313641297444
72,baseline,lively-sweep-8,effective,0.9747314491583224
73,baseline,noble-sweep-9,effective,0.975669701258202
74,baseline,stoic-sweep-10,effective,0.97201903023377
75,baseline,playful-sweep-1,inverse,0.9737950125359466
76,baseline,rural-sweep-2,inverse,0.9739895538895216
77,baseline,toasty-sweep-3,inverse,0.9633056796061652
78,baseline,resilient-sweep-4,inverse,0.95487036732576
79,baseline,denim-sweep-5,inverse,0.9781716334227304
80,baseline,lucky-sweep-6,inverse,0.972282197735836
81,baseline,woven-sweep-7,inverse,0.978338803998426
82,baseline,icy-sweep-8,inverse,0.9725952743493462
83,baseline,desert-sweep-9,inverse,0.9758930995984052
84,baseline,apricot-sweep-10,inverse,0.9667341961535092
85,baseline,rare-sweep-1,none,0.9729100477067408
86,baseline,earthy-sweep-2,none,0.971245359202172
87,baseline,happy-sweep-3,none,0.9802917434676666
88,baseline,soft-sweep-4,none,0.9790652847480416
89,baseline,fluent-sweep-5,none,0.9746823082138342
