config,name,transfer_learning,f1_score
resnet34,glamorous-sweep-1,True,0.9778514032127512
resnet34,classic-sweep-2,True,0.9770665943102456
resnet34,olive-sweep-3,True,0.969167104050408
resnet34,toasty-sweep-4,True,0.95890935716492
resnet34,earthy-sweep-5,True,0.9741797755613812
resnet34,dark-sweep-6,True,0.9744114325838512
resnet34,fresh-sweep-7,True,0.9717020570346232
resnet34,drawn-sweep-8,True,0.9794998138935416
resnet34,sleek-sweep-9,True,0.9778258178064628
resnet34,sparkling-sweep-10,True,0.9743146633624048
resnet34,divine-sweep-1,False,0.966399896156437
resnet34,jumping-sweep-2,False,0.971476411096478
resnet34,peachy-sweep-3,False,0.969329754959171
resnet34,vibrant-sweep-4,False,0.963582084310298
resnet34,likely-sweep-5,False,0.9628016167599406
resnet34,usual-sweep-6,False,0.9748623042933288
resnet34,quiet-sweep-7,False,0.9776667651576896
resnet34,generous-sweep-8,False,0.9729245733095584
resnet34,winter-sweep-9,False,0.967815108053788
resnet34,devout-sweep-10,False,0.976354131678259
baseline,celestial-sweep-1,False,0.978131747307589
baseline,pleasant-sweep-2,False,0.9674986643035828
baseline,soft-sweep-3,False,0.980712286595176
baseline,celestial-sweep-4,False,0.968429297920833
baseline,happy-sweep-5,False,0.9702511995105524
baseline,light-sweep-1,True,0.9722356898323876
baseline,helpful-sweep-2,True,0.9639633056698678
baseline,fluent-sweep-3,True,0.9794815915550572
baseline,tough-sweep-4,True,0.9700733343739468
baseline,morning-sweep-5,True,0.9511848273573696
baseline,glamorous-sweep-6,True,0.9619467460718
baseline,lunar-sweep-7,True,0.970617939830374
baseline,jolly-sweep-8,True,0.9737660894462564
baseline,glowing-sweep-9,True,0.9599212905445444
baseline,electric-sweep-10,True,0.9597058975473756
baseline,rare-sweep-1,False,0.9729100477067408
baseline,earthy-sweep-2,False,0.971245359202172
baseline,happy-sweep-3,False,0.9802917434676666
baseline,soft-sweep-4,False,0.9790652847480416
baseline,fluent-sweep-5,False,0.9746823082138342
