name,epochs,architecture,suggest_func,frozen_epochs,combined_f1_time,f1_score,total_runtime,time_epoch
morning-sweep-36,14,convnext_tiny,minimum,1,0.9747835744904466,0.9804372538596192,169.61038107518107,11.307358738345405
vague-sweep-35,14,convnext_tiny,steep,1,0.9645319041183482,0.9704030739181316,176.13509399350733,11.742339599567154
crimson-sweep-34,9,convnext_tiny,minimum,1,0.9707575707341036,0.9745983695579185,115.22396471444516,11.522396471444516
woven-sweep-33,9,convnext_tiny,steep,1,0.9725981834650552,0.9763898634445124,113.75039938371629,11.375039938371629
iconic-sweep-32,4,convnext_tiny,minimum,1,0.9730991063947968,0.9751579259204856,61.7645857706666,12.35291715413332
amber-sweep-31,4,convnext_tiny,steep,1,0.9774876095186376,0.979364925723624,56.31948614958674,11.263897229917347
pleasant-sweep-30,14,convnext_nano,minimum,1,0.9738859067157638,0.9781800844215894,128.8253311747685,8.588355411651234
solar-sweep-29,14,convnext_nano,steep,1,0.9704647760773648,0.9748190096598378,130.6270074741915,8.708467164946098
pleasant-sweep-28,9,convnext_nano,minimum,1,0.9720479711432248,0.974975508036954,87.82610681187361,8.78261068118736
woven-sweep-27,9,convnext_nano,steep,1,0.9694823586719258,0.9723730992948784,86.72221868857741,8.672221868857742
easy-sweep-26,4,convnext_nano,minimum,1,0.979609379413263,0.981088745234694,44.380974642932415,8.876194928586482
rich-sweep-25,4,convnext_nano,steep,1,0.9789708623299196,0.9804067772970356,43.077449013479054,8.61548980269581
major-sweep-24,14,resnet50,minimum,1,0.9699336285411602,0.9756109382551076,170.3192914184183,11.354619427894553
driven-sweep-23,14,resnet50,steep,1,0.9675651487837704,0.9745708705040164,210.17165160737932,14.011443440491954
dulcet-sweep-22,9,resnet50,minimum,1,0.9626041499459884,0.9670275625591866,132.70237839594483,13.270237839594483
gallant-sweep-21,9,resnet50,steep,1,0.9550044277837434,0.9600774610581742,152.19099823292345,15.219099823292344
effortless-sweep-20,4,resnet50,minimum,1,0.971985087471581,0.9745052375269136,75.6045016599819,15.120900331996381
apricot-sweep-19,4,resnet50,steep,1,0.9720483005258423,0.9744220779444572,71.21332255844027,14.242664511688053
leafy-sweep-18,14,resnet34,minimum,1,0.9620816544250484,0.966093483882232,120.35488371551035,8.023658914367356
avid-sweep-17,14,resnet34,steep,1,0.971362647660265,0.9757992215787704,133.09721755515784,8.873147837010523
crisp-sweep-16,9,resnet34,minimum,1,0.9689216302784676,0.9718448557443502,87.69676397647709,8.769676397647709
smart-sweep-15,9,resnet34,steep,1,0.9732141920073804,0.9761216374985168,87.22336473409086,8.722336473409086
twilight-sweep-14,4,resnet34,minimum,1,0.9690980172125156,0.9704610318300468,40.8904385259375,8.1780877051875
brisk-sweep-13,4,resnet34,steep,1,0.9755783841838864,0.9770285864598232,43.50606827810407,8.701213655620814
genial-sweep-12,14,resnet26,minimum,1,0.961298512964252,0.965601814364012,129.09904199279845,8.606602799519896
robust-sweep-11,14,resnet26,steep,1,0.9645080488695728,0.9701407031414064,168.97962815500796,11.265308543667198
lyric-sweep-10,9,resnet26,minimum,1,0.9725175797604632,0.9756335808049876,93.48003133572638,9.348003133572638
noble-sweep-9,9,resnet26,steep,1,0.9660066567156798,0.9694007002573172,101.8213062491268,10.18213062491268
scarlet-sweep-8,4,resnet26,minimum,1,0.9717531687967644,0.97318953886279,43.091101980768144,8.618220396153628
peachy-sweep-7,4,resnet26,steep,1,0.974415360965926,0.9757883159796134,41.18865041062236,8.237730082124472
resilient-sweep-6,14,resnet18,minimum,1,0.9581720277557604,0.961990275317476,114.5474268514663,7.636495123431087
driven-sweep-5,14,resnet18,steep,1,0.9564707210187772,0.9596789206344608,96.2459884705022,6.416399231366813
treasured-sweep-4,9,resnet18,minimum,1,0.9713262657053542,0.9740193621239088,80.79289255663753,8.079289255663753
firm-sweep-3,9,resnet18,steep,1,0.945624904687541,0.9477806602445988,64.67266671173275,6.467266671173275
sleek-sweep-2,4,resnet18,minimum,1,0.9801676352519186,0.9814572409206956,38.68817006330937,7.737634012661874
morning-sweep-1,4,resnet18,steep,1,0.957651576231426,0.9588347596736374,35.495503266341984,7.099100653268397
